时间,出厂水流量
2026-06-22 00:00:00,2571.09
2026-06-22 01:00:00,2341.47
2026-06-22 02:00:00,2324.52
2026-06-22 03:00:00,2309.54
2026-06-22 04:00:00,2337.39
2026-06-22 05:00:00,2317.25
2026-06-22 06:00:00,2365.63
2026-06-22 07:00:00,3592.47
2026-06-22 08:00:00,3673.64
2026-06-22 09:00:00,3628.32
2026-06-22 10:00:00,3357.06
2026-06-22 11:00:00,3939.66
2026-06-22 12:00:00,4013.73
2026-06-22 13:00:00,3538.39
2026-06-22 14:00:00,3165.71
2026-06-22 15:00:00,3231.14
2026-06-22 16:00:00,2874.35
2026-06-22 17:00:00,2883.18
2026-06-22 18:00:00,2798.1
2026-06-22 19:00:00,2403.11
2026-06-22 20:00:00,2429.61
2026-06-22 21:00:00,2442.25
2026-06-22 22:00:00,2446.57
2026-06-22 23:00:00,2453.3
2026-06-23 00:00:00,2710.08
2026-06-23 01:00:00,2728.99
2026-06-23 02:00:00,3107.7
2026-06-23 03:00:00,2271.12
2026-06-23 04:00:00,2283.22
2026-06-23 05:00:00,3130.74
2026-06-23 06:00:00,2289.19
2026-06-23 07:00:00,3081.57
2026-06-23 08:00:00,4007.17
2026-06-23 09:00:00,3821.09
2026-06-23 10:00:00,2851.7
2026-06-23 11:00:00,2751.18
2026-06-23 12:00:00,2717.9
2026-06-23 13:00:00,4029.21
2026-06-23 14:00:00,3928.54
2026-06-23 15:00:00,2856.24
2026-06-23 16:00:00,3114.62
2026-06-23 17:00:00,2695.33
2026-06-23 18:00:00,2250.98
2026-06-23 19:00:00,2457.98
2026-06-23 20:00:00,3239.86
2026-06-23 21:00:00,2655.63
2026-06-23 22:00:00,3358.94
2026-06-23 23:00:00,2642.0
2026-06-24 00:00:00,2311.28
2026-06-24 01:00:00,2543.56
2026-06-24 02:00:00,2589.82
2026-06-24 03:00:00,3904.71
2026-06-24 04:00:00,3403.46
2026-06-24 05:00:00,2628.23
2026-06-24 06:00:00,2495.12
2026-06-24 07:00:00,3258.28
2026-06-24 08:00:00,3271.27
2026-06-24 09:00:00,3733.73
2026-06-24 10:00:00,3670.0
2026-06-24 11:00:00,3778.26
2026-06-24 12:00:00,3110.59
2026-06-24 13:00:00,3139.45
2026-06-24 14:00:00,3120.77
2026-06-24 15:00:00,3086.43
2026-06-24 16:00:00,2831.42
2026-06-24 17:00:00,2840.97
2026-06-24 18:00:00,2837.31
2026-06-24 19:00:00,2352.71
2026-06-24 20:00:00,2356.13
2026-06-24 21:00:00,3805.66
2026-06-24 22:00:00,3556.74
2026-06-24 23:00:00,3140.55
2026-06-25 00:00:00,2804.73
2026-06-25 01:00:00,2828.54
2026-06-25 02:00:00,2983.91
2026-06-25 03:00:00,2961.69
2026-06-25 04:00:00,3177.04
2026-06-25 05:00:00,2831.62
2026-06-25 06:00:00,3063.88
2026-06-25 07:00:00,3643.33
2026-06-25 08:00:00,3463.38
2026-06-25 09:00:00,3427.03
2026-06-25 10:00:00,3541.48
2026-06-25 11:00:00,3730.67
2026-06-25 12:00:00,3339.27
2026-06-25 13:00:00,4650.34
2026-06-25 14:00:00,3382.5
2026-06-25 15:00:00,2663.91
2026-06-25 16:00:00,3554.42
2026-06-25 17:00:00,3573.96
2026-06-25 18:00:00,3781.54
2026-06-25 19:00:00,3733.04
2026-06-25 20:00:00,2584.08
