date,n_hours,mae,mape,mape_raw,mape_used,plot_path,csv_path
2025-11-25,24,183.9020853678385,6.357640930880831,6.357640930880831,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251125.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251125.csv
2025-11-26,24,148.8133321126302,5.1660076225380545,5.1660076225380545,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251126.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251126.csv
2025-11-27,24,119.01999308268229,3.8194812366894904,3.8194812366894904,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251127.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251127.csv
2025-11-28,24,157.71041056315102,5.361904994721911,5.361904994721911,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251128.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251128.csv
2025-11-29,24,159.71501566569012,6.006346579612746,6.006346579612746,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251129.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251129.csv
2025-11-30,24,196.58544718424483,6.82747749672659,6.82747749672659,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251130.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251130.csv
2025-12-01,24,158.07293599446612,4.7218372162307265,4.7218372162307265,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251201.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251201.csv
2025-12-02,24,167.84873555501306,5.539571795743306,5.539571795743306,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251202.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251202.csv
2025-12-03,24,162.91000366210938,5.329952113077257,5.329952113077257,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251203.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251203.csv
2025-12-04,24,172.232529703776,6.067310290131477,6.067310290131477,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251204.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251204.csv
2025-12-05,24,172.58375447591143,6.324790612363952,6.324790612363952,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251205.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251205.csv
2025-12-06,24,168.42125040690107,5.139690318844945,5.139690318844945,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251206.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251206.csv
2025-12-07,24,125.14585164388022,4.404331966599911,4.404331966599911,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251207.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251207.csv
2025-12-08,24,245.84703877766927,8.567642217755056,8.567642217755056,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251208.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251208.csv
2025-12-09,24,113.11248168945308,4.069728359517851,4.069728359517851,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251209.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251209.csv
2025-12-10,24,225.1237335205078,7.688264120840259,7.688264120840259,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251210.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251210.csv
2025-12-11,24,175.17789611816406,5.721186178340143,5.721186178340143,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251211.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251211.csv
2025-12-12,24,117.33544413248701,4.2147674845180765,4.2147674845180765,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251212.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251212.csv
2025-12-13,24,187.9946085611979,6.390871873045033,6.390871873045033,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251213.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251213.csv
2025-12-14,24,167.45085856119792,5.520607768151315,5.520607768151315,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251214.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251214.csv
2025-12-15,24,167.97538248697916,5.690250948013417,5.690250948013417,24,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251215.png,d:\Junshan_Project\transformer_pkg\results\junshan_L1D_P24H_1h_transformer_nextday16h_mc_20260901_002524\compare_20251215.csv
