timestamp,actual,predict,abs_err
2025-11-12 00:00:00,1892.0,1738.6,153.4000000000001
2025-11-12 01:00:00,1614.5799560546875,1585.0,29.5799560546875
2025-11-12 02:00:00,1563.219970703125,1565.2,1.9800292968750455
2025-11-12 03:00:00,1614.5799560546875,1567.4,47.17995605468741
2025-11-12 04:00:00,1623.989990234375,1630.1,6.110009765624909
2025-11-12 05:00:00,2025.6400146484375,1804.9,220.7400146484374
2025-11-12 06:00:00,2828.60009765625,2592.9,235.7000976562499
2025-11-12 07:00:00,3645.469970703125,3568.8,76.66997070312482
2025-11-12 08:00:00,3741.5,3796.9,55.40000000000009
2025-11-12 09:00:00,3645.469970703125,3897.6,252.1300292968749
2025-11-12 10:00:00,3535.340087890625,3804.7,269.3599121093748
2025-11-12 11:00:00,3475.47998046875,3638.4,162.9200195312501
2025-11-12 12:00:00,3145.6201171875,3452.4,306.7798828125001
2025-11-12 13:00:00,3134.219970703125,3297.2,162.98002929687482
2025-11-12 14:00:00,3074.179931640625,3216.7,142.52006835937482
2025-11-12 15:00:00,3074.179931640625,3139.9,65.72006835937509
2025-11-12 16:00:00,3165.330078125,3202.1,36.76992187499991
2025-11-12 17:00:00,3286.1298828125,3273.9,12.229882812499909
2025-11-12 18:00:00,3316.699951171875,3410.2,93.50004882812482
2025-11-12 19:00:00,4071.179931640625,3521.7,549.4799316406252
2025-11-12 20:00:00,4071.179931640625,3637.6,433.5799316406251
2025-11-12 21:00:00,3984.3798828125,3592.3,392.0798828124998
2025-11-12 22:00:00,3032.590087890625,3103.2,70.60991210937482
2025-11-12 23:00:00,2467.27001953125,2325.0,142.27001953125
