epoch,train_loss,test_loss,flow_mae,flow_rmse,flow_mape,lr
1,0.09124487143461156,0.06513141240109367,180.61227,239.1736424650509,6.5697108512409965,0.0004986304738420684
2,0.03839761515816563,0.06547700602385806,171.02449,239.8073364051859,6.039292159485568,0.0004945369001834514
3,0.01938747241800064,0.07084429453944896,181.55495,249.44253471491183,6.598026863867348,0.0004877641290737884
4,0.013046690697503858,0.07025051483280771,176.52477,248.3949727752154,6.19547958940205,0.0004783863644106502
5,0.009948035808085738,0.06897873445891277,176.40787,246.13630782810162,6.219733570432765,0.00046650635094610973
6,0.010400614341770753,0.06680777325318131,178.66661,242.232020101596,6.3966341281252035,0.0004522542485937369
7,0.00807336415835682,0.07146214355309584,179.82057,250.52789577709706,6.321691787052118,0.00043578620636934855
8,0.007785585302347732,0.0639820002803677,172.98866,237.05383255971628,6.146009836233392,0.0004172826515897146
9,0.007104206685217094,0.06268314441402863,172.34903,234.6353470680622,6.14559103909261,0.0003969463130731183
10,0.0073820667277374975,0.061867670225717354,172.36188,233.10412104894243,6.237730842917384,0.000375
11,0.00621914572932713,0.06295209729894377,176.88109,235.13819075173646,6.280849644546771,0.0003516841607689501
12,0.006572858773769667,0.05964578224805253,167.09465,228.88003476166287,5.94475767289647,0.00032725424859373687
13,0.006335630540784368,0.058733390246897194,164.64078,227.12272116358153,5.856850125623957,0.0003019779227044398
14,0.004936715657322208,0.06135223462269577,171.93098,232.13105807926695,6.146003255332904,0.0002761321158169134
15,0.0045683193652962415,0.06113447915566595,168.38931,231.71874789278488,5.943744422575762,0.00025000000000000006
16,0.004166741637018811,0.06016547894337501,168.5577,229.875,6.004322317360029,0.00022386788418308668
17,0.0035736147923796477,0.06145860199039993,170.45804,232.33220591698,6.026316559195885,0.00019802207729556015
18,0.003389364750040026,0.06085700719227751,168.54086,231.19229009636112,5.936981799437834,0.00017274575140626317
19,0.003209390519279645,0.0603483182447769,167.56468,230.22402472917548,5.917337676086324,0.00014831583923104996
20,0.002860273926567206,0.06215298724801917,169.97652,233.64100901543375,6.053356452357753,0.00012500000000000006
21,0.0025979230266091756,0.06167524059269567,170.15518,232.74131462043863,6.005661848265571,0.00010305368692688174
22,0.002378753922546627,0.06148164998997942,171.54,232.37575645385212,6.109261916773944,8.271734841028553e-05
23,0.002198944695457019,0.06176135662189811,169.77805,232.9037488964057,6.014924998883683,6.421379363065146e-05
24,0.0020382834846147994,0.0636521202829406,173.90582,236.44192766142388,6.1363824214970775,4.7745751406263163e-05
25,0.001937969918797446,0.06321363761979787,172.45227,235.626135607343,6.093185111772023,3.3493649053890325e-05
26,0.001831118721604312,0.06410241020724713,174.56384,237.27677832280597,6.156951471371494,2.1613635589349755e-05
27,0.0017560194989404577,0.06420733046993984,174.54106,237.4708781487743,6.173505558604382,1.2235870926211617e-05
28,0.0017088920742543887,0.06396437871819388,173.77101,237.02117027018915,6.138401455441879,5.463099816548578e-06
29,0.0016659963180691464,0.06417706580909996,173.85547,237.4149107443549,6.1354638101841195,1.3695261579316497e-06
30,0.0016433902755848512,0.06431568127094543,174.26369,237.67117186882385,6.15084928428468,0.0005
31,0.02878094292609641,0.06230123412287136,169.25288,233.91948234114662,5.945458428852293,0.0004996573836886434
32,0.0077722686558754795,0.06254206318150267,171.1434,234.37115830184823,6.041167911134711,0.0004986304738420684
33,0.005766045378094249,0.059460247425656566,166.65091,228.5237867132216,5.8773339207297575,0.0004969220851487844
